id,name,category,date,size,ext,url
"d_c3cb47d7aab97d","היערכות מסעדות לפסח תשפו","Pesach","2026-01-08T00:00:00.000Z","532176","PDF","C:\MyProject\docs-kashrut\היערכות מסעדות לפסח תשפו.pdf"
"d_582834f4251dad","העדה החרדית מסעדות ירושלים קיץ פה סימ","Instructions","2026-04-17T00:00:00.000Z","540046","PDF","C:\MyProject\docs-kashrut\העדה החרדית מסעדות ירושלים קיץ פה סימ.pdf"
"d_11edadb33424f2","העדה החרדית מסעדות צפון קיץ פו","Instructions","2026-04-17T00:00:00.000Z","172165","PDF","C:\MyProject\docs-kashrut\העדה החרדית מסעדות צפון קיץ פו.pdf"
"d_31560012230f3f","עסקים בכשרות מהדרין  תשפ''ה","Instructions","2025-07-01T00:00:00.000Z","352737","PDF","C:\MyProject\docs-kashrut\עסקים בכשרות מהדרין  תשפ''ה.pdf"
"d_454a4dbd31ec7d","רשימת מסעדות-7","Instructions","2026-04-17T00:00:00.000Z","239370","PDF","C:\MyProject\docs-kashrut\רשימת מסעדות-7.pdf"
"d_38bb8ffb424aa1","רשימת עסקים בד''ץ 'בהידור הכשדרות' ו'מהדרין' נתניה - כסלו תשפו","Instructions","2025-11-21T00:00:00.000Z","4039889","PDF","C:\MyProject\docs-kashrut\רשימת עסקים בד''ץ 'בהידור הכשדרות' ו'מהדרין' נתניה - כסלו תשפו.pdf"
"d_a72c5353674e79","רשימת רבנים 17.03.24 _","Regulations","2024-03-17T00:00:00.000Z","335518","PDF","C:\MyProject\docs-kashrut\רשימת רבנים 17.03.24 _.pdf"
"d_c3a618f39aaa0c","רשימת רבנים בעלי תפקידים אלול תשעז_0 (2)","Regulations","2026-04-17T00:00:00.000Z","647590","PDF","C:\MyProject\docs-kashrut\רשימת רבנים בעלי תפקידים אלול תשעז_0 (2).pdf"
"d_26f44e96e86be9","�מאגר_מסעדות_לאנש_חבד_ניסן_התשפה","Instructions","2025-07-01T00:00:00.000Z","148946","PDF","C:\MyProject\docs-kashrut\�מאגר_מסעדות_לאנש_חבד_ניסן_התשפה.pdf"
"d_7e9a46ad9ae338","�מסעדות כשרות","Instructions","2026-04-17T00:00:00.000Z","1160839","PDF","C:\MyProject\docs-kashrut\�מסעדות כשרות.pdf"
